object_type,color
.NET (New Analyzer),"rgb(78,117,0)"
.NET AddOn,"rgb(231,8,84)"
.NET AppSetting found in configuration file,"rgb(131,163,163)"
.NET Assembly,"rgb(57,29,71)"
.NET Binary Operator,"rgb(148,0,0)"
.NET Class,"rgb(61,40,71)"
.NET Class browser,"rgb(238,204,255)"
.NET Component Class,"rgb(79,62,87)"
.NET Configuration,"rgb(56,45,52)"
.NET Const,"rgb(226,2,70)"
.NET Constant Field,"rgb(133,85,133)"
.NET Constructor,"rgb(179,179,114)"
.NET Control,"rgb(148,36,110)"
.NET Control Event,"rgb(144,190,169)"
.NET Conversion Operator,"rgb(148,36,73)"
.NET Crystal Report Class,"rgb(139,209,0)"
.NET Custom Attribute,"rgb(68,0,102)"
.NET Custom Control,"rgb(97,56,117)"
.NET DataSet,"rgb(133,95,133)"
.NET Delegate,"rgb(148,59,89)"
.NET Destructor,"rgb(176,194,140)"
.NET Dynamic type,"rgb(91,38,117)"
.NET Enum,"rgb(199,9,256)"
.NET Enum Item,"rgb(86,216,168)"
.NET Enumeration,"rgb(148,12,12)"
.NET Enumeration Item,"rgb(204,102,255)"
.NET Event,"rgb(16,16,26)"
.NET Event Add,"rgb(148,118,128)"
.NET Event Remove,"rgb(148,83,83)"
.NET Exception,"rgb(163,115,91)"
.NET Field,"rgb(163,72,26)"
.NET File,"rgb(148,47,47)"
.NET File browser,"rgb(224,224,72)"
.NET Fire,"rgb(34,42,175)"
.NET Form,"rgb(179,179,143)"
.NET Generic Class,"rgb(163,89,52)"
.NET Generic Delegate,"rgb(178,179,100)"
.NET Generic Interface,"rgb(106,194,62)"
.NET Generic Method,"rgb(92,73,102)"
.NET Generic Structure,"rgb(195,209,167)"
.NET Generic Type Parameter,"rgb(224,186,108)"
.NET Global Namespace,"rgb(56,33,102)"
.NET Group,"rgb(66,55,87)"
.NET Indexer,"rgb(218,143,255)"
.NET Indexer Get,"rgb(224,224,180)"
.NET Indexer Set,"rgb(162,209,67)"
.NET Inherited Form,"rgb(37,206,52)"
.NET Inherited User Control,"rgb(252,75,37)"
.NET Installer Class,"rgb(224,224,126)"
.NET Instantiated Generic Class,"rgb(177,20,255)"
.NET Instantiated Generic Delegate,"rgb(18,14,26)"
.NET Instantiated Generic Interface,"rgb(56,27,37)"
.NET Instantiated Generic Method,"rgb(67,28,87)"
.NET Instantiated Generic Structure,"rgb(59,34,71)"
.NET Interface,"rgb(81,69,87)"
.NET Method,"rgb(106,84,117)"
.NET Namespace,"rgb(72,42,87)"
.NET Object,"rgb(67,57,71)"
.NET Project references,"rgb(145,194,47)"
.NET Projects,"rgb(22,20,26)"
.NET Property,"rgb(51,11,71)"
.NET Property Get,"rgb(56,40,46)"
.NET Property Set,"rgb(9,0,26)"
.NET RemoveOn,"rgb(2,54,155)"
.NET Server Control,"rgb(178,179,86)"
.NET Skin Control,"rgb(133,106,133)"
.NET Source File,"rgb(71,107,179)"
.NET Structure,"rgb(90,65,102)"
.NET Transactional Component,"rgb(158,6,1)"
.NET Unary Operator,"rgb(163,107,78)"
.NET User Control,"rgb(103,75,117)"
