techno,color
.NET (New Analyzer),"rgb(118,135,135)"
.NET AddOn,"rgb(78,106,156)"
.NET AppSetting found in configuration file,"rgb(146,201,201)"
.NET Assembly,"rgb(220,159,220)"
.NET Binary Operator,"rgb(209,179,139)"
.NET Business Logic,"rgb(176,48,96)"
.NET Class,"rgb(176,48,96)"
.NET Class browser,"rgb(207,31,143)"
.NET Communication,"rgb(193,251,204)"
.NET Component Class,"rgb(106,141,34)"
.NET Configuration,"rgb(204,196,190)"
.NET Const,"rgb(47,67,78)"
.NET Constant Field,"rgb(254,1,1)"
.NET Constructor,"rgb(177,33,33)"
.NET Control,"rgb(137,42,225)"
.NET Control Event,"rgb(216,83,145)"
.NET Conversion Operator,"rgb(243,163,95)"
.NET Crystal Report Class,"rgb(237,232,232)"
.NET Custom Attribute,"rgb(188,182,106)"
.NET Custom Control,"rgb(239,229,139)"
.NET DataSet,"rgb(237,231,169)"
.NET Delegate,"rgb(249,249,209)"
.NET Destructor,"rgb(164,41,41)"
.NET Dynamic type,"rgb(152,49,203)"
.NET Enum,"rgb(130,174,40)"
.NET Enum Item,"rgb(164,158,93)"
.NET Enumeration,"rgb(254,254,223)"
.NET Enumeration Item,"rgb(138,136,136)"
.NET Event,"rgb(237,228,221)"
.NET Event Add,"rgb(254,104,179)"
.NET Event Remove,"rgb(254,19,146)"
.NET Exception,"rgb(146,111,218)"
.NET Field,"rgb(254,191,202)"
.NET File,"rgb(159,31,239)"
.NET File browser,"rgb(198,20,132)"
.NET Fire,"rgb(80,102,84)"
.NET Form,"rgb(215,190,215)"
.NET Generic Class,"rgb(254,254,1)"
.NET Generic Delegate,"rgb(254,214,1)"
.NET Generic Interface,"rgb(237,220,129)"
.NET Generic Method,"rgb(254,98,70)"
.NET Generic Structure,"rgb(217,164,31)"
.NET Generic Type Parameter,"rgb(204,200,200)"
.NET Global Namespace,"rgb(185,84,210)"
.NET Group,"rgb(254,238,218)"
.NET Indexer,"rgb(254,159,121)"
.NET Indexer Get,"rgb(249,127,113)"
.NET Indexer Set,"rgb(232,149,121)"
.NET Inherited Form,"rgb(102,254,78)"
.NET Inherited User Control,"rgb(144,69,34)"
.NET Installer Class,"rgb(183,133,10)"
.NET Instantiated Generic Class,"rgb(187,142,142)"
.NET Instantiated Generic Delegate,"rgb(204,91,91)"
.NET Instantiated Generic Interface,"rgb(138,68,18)"
.NET Instantiated Generic Method,"rgb(239,127,127)"
.NET Instantiated Generic Structure,"rgb(159,81,44)"
.NET Interface,"rgb(204,132,62)"
.NET Method,"rgb(254,68,1)"
.NET Namespace,"rgb(217,111,213)"
.NET Object,"rgb(138,133,129)"
.NET Presentation,"rgb(191,205,4)"
.NET Project references,"rgb(218,111,146)"
.NET Projects,"rgb(254,1,254)"
.NET Property,"rgb(254,126,79)"
.NET Property Get,"rgb(254,139,1)"
.NET Property Set,"rgb(254,164,1)"
.NET RemoveOn,"rgb(16,4,195)"
.NET Server Control,"rgb(254,181,192)"
.NET Skin Control,"rgb(147,1,210)"
.NET Source File,"rgb(98,135,135)"
.NET Structure,"rgb(221,183,134)"
.NET Transactional Component,"rgb(3,193,176)"
.NET Unary Operator,"rgb(209,104,29)"
.NET User Control,"rgb(244,244,219)"
.NET Web Custom Control,"rgb(223,133,206)"
.NET Web Service,"rgb(103,87,203)"
.NET Web Service Method,"rgb(131,16,240)"
.NET Web Service Proxy,"rgb(69,58,137)"
.NET Web Site,"rgb(75,102,232)"
.NET Windows Service Class,"rgb(244,221,178)"
.NET Windows Serviced Component,"rgb(254,249,249)"
.NET directory,"rgb(175,47,95)"
.Net Communication,"rgb(255,20,147)"
.Net Transaction,"rgb(82,70,87)"
.Net Web Site,"rgb(237,129,237)"
.Net presentation,"rgb(67,110,238)"
A CICS source file,"rgb(237,121,232)"
A DD card reference,"rgb(152,48,203)"
A IMS source file,"rgb(83,134,139)"
A JCL source file to be recognized,"rgb(91,69,137)"
ABAP Alias,"rgb(237,223,228)"
ABAP BADI,"rgb(204,178,138)"
ABAP Business Logic,"rgb(176,48,96)"
ABAP Class,"rgb(176,48,96)"
ABAP Class Pool,"rgb(204,191,175)"
ABAP Constructor,"rgb(237,237,223)"
ABAP Event,"rgb(204,204,192)"
ABAP Event Block,"rgb(73,111,138)"
ABAP Event Method,"rgb(138,135,119)"
ABAP File Level Code,"rgb(204,192,196)"
ABAP File used for bookmark (invisible),"rgb(237,232,190)"
ABAP Flow Logic File,"rgb(237,231,204)"
ABAP Form,"rgb(125,191,237)"
ABAP Frame,"rgb(184,210,237)"
ABAP Function,"rgb(107,165,204)"
ABAP Function Pool,"rgb(138,130,119)"
ABAP Global Type,"rgb(192,204,192)"
ABAP Global Variable,"rgb(130,138,130)"
ABAP Include,"rgb(237,212,182)"
ABAP Interface,"rgb(204,182,157)"
ABAP Interface Pool,"rgb(138,124,106)"
ABAP Macro,"rgb(163,210,237)"
ABAP Member,"rgb(138,138,130)"
ABAP Method,"rgb(104,88,204)"
ABAP Module,"rgb(140,181,204)"
ABAP Module Pool,"rgb(237,202,172)"
ABAP Package,"rgb(204,200,164)"
ABAP Presentation,"rgb(193,205,205)"
ABAP Processing Screen,"rgb(175,225,254)"
ABAP Program,"rgb(204,174,148)"
ABAP Reporting,"rgb(139,137,137)"
ABAP Reports,"rgb(203,100,2)"
ABAP Selection Screen,"rgb(138,120,93)"
ABAP Type Pool,"rgb(138,118,100)"
ABAP Unresolved Folder,"rgb(197,225,254)"
ABAP Unresolved Object,"rgb(95,122,138)"
ABAP User-Exit,"rgb(237,206,160)"
ABAP enhancement,"rgb(1,153,204)"
ABAP enhancement-section,"rgb(1,103,138)"
ADO,"rgb(103,137,32)"
ADO Data Access,"rgb(199,21,133)"
ADO.NET,"rgb(200,253,110)"
ANSI Database,"rgb(5,129,134)"
ANSI Function,"rgb(238,220,130)"
ANSI Procedure,"rgb(205,190,112)"
ANSI Synonym,"rgb(139,129,76)"
ANSI Table,"rgb(5,129,134)"
ANSI Trigger,"rgb(205,205,180)"
ANSI View,"rgb(139,139,122)"
AOP Alliance,"rgb(192,177,121)"
API  Amazon Elasticsearch Service,"rgb(232,232,218)"
API AOP Alliance,"rgb(96,41,164)"
API ATG,"rgb(240,217,174)"
API AWS Amplify,"rgb(129,200,244)"
API AWS App Mesh,"rgb(94,143,231)"
API AWS AppSync,"rgb(249,209,6)"
API AWS Application Auto Scaling,"rgb(218,232,232)"
API AWS Application Discovery Service,"rgb(133,119,117)"
API AWS Auto Scaling Plans,"rgb(121,249,4)"
API AWS Backup,"rgb(113,130,147)"
API AWS Batch,"rgb(86,166,232)"
API AWS Budgets,"rgb(125,105,249)"
API AWS Certificate Manager,"rgb(199,177,152)"
API AWS Certificate Manager Private Certificate Authority,"rgb(26,172,164)"
API AWS Cloud9,"rgb(44,199,44)"
API AWS CloudFormation,"rgb(232,227,227)"
API AWS CloudHSM,"rgb(232,201,155)"
API AWS CloudHSM V2,"rgb(239,216,173)"
API AWS CloudTrail,"rgb(133,125,114)"
API AWS Code Build,"rgb(93,178,249)"
API AWS CodeCommit,"rgb(199,194,171)"
API AWS CodeDeploy,"rgb(232,197,167)"
API AWS CodePipeline,"rgb(232,226,199)"
API AWS CodeStar,"rgb(244,122,108)"
API AWS Comprehend Medical,"rgb(59,99,219)"
API AWS Config,"rgb(232,207,177)"
API AWS Cost Explorer,"rgb(199,127,57)"
API AWS Cost and Usage Report,"rgb(10,72,133)"
API AWS Data Pipeline,"rgb(199,195,195)"
API AWS DataSync,"rgb(4,185,249)"
API AWS Database Migration Service,"rgb(5,129,134)"
API AWS Device Farm,"rgb(133,130,114)"
API AWS Direct Connect,"rgb(133,131,131)"
API AWS Directory Service,"rgb(199,195,159)"
API AWS Elastic Beanstalk,"rgb(232,223,216)"
API AWS Elemental MediaConvert,"rgb(178,128,5)"
API AWS Elemental MediaLive,"rgb(133,63,13)"
API AWS Elemental MediaPackage,"rgb(154,76,39)"
API AWS Elemental MediaStore,"rgb(182,137,137)"
API AWS Elemental MediaStore Data Plane,"rgb(199,86,86)"
API AWS Global Accelerator,"rgb(4,4,249)"
API AWS Glue,"rgb(238,158,90)"
API AWS Greengrass,"rgb(172,28,28)"
API AWS Health APIs and Notifications,"rgb(18,110,199)"
API AWS Identity and Access Management,"rgb(199,191,185)"
API AWS ImportExport,"rgb(133,128,124)"
API AWS IoT,"rgb(187,199,187)"
API AWS IoT 1-Click Devices,"rgb(40,133,81)"
API AWS IoT 1-Click Projects,"rgb(137,182,137)"
API AWS IoT Analytics,"rgb(54,173,107)"
API AWS IoT Jobs Data Plane,"rgb(244,244,204)"
API AWS Key Management,"rgb(133,119,101)"
API AWS Lambda,"rgb(199,169,143)"
API AWS Lex,"rgb(73,142,199)"
API AWS License Manager,"rgb(66,55,133)"
API AWS Marketplace Commerce Analytics,"rgb(199,199,187)"
API AWS Marketplace Entitlement,"rgb(227,144,116)"
API AWS Marketplace Metering Service,"rgb(232,207,204)"
API AWS MediaConnect,"rgb(126,106,249)"
API AWS MediaTailor,"rgb(121,249,206)"
API AWS Migration Hub,"rgb(204,174,134)"
API AWS Mobile,"rgb(239,239,214)"
API AWS OpsWorks,"rgb(249,244,244)"
API AWS OpsWorks for Chef Automate,"rgb(33,58,133)"
API AWS Organizations,"rgb(48,94,133)"
API AWS Performance Insights,"rgb(79,101,41)"
API AWS Pricing,"rgb(216,178,129)"
API AWS RDS Data,"rgb(170,190,216)"
API AWS REPORTING,"rgb(113,130,147)"
API AWS Resource Access Manager,"rgb(170,218,224)"
API AWS Resource Groups,"rgb(101,136,29)"
API AWS Resource Groups Tagging API,"rgb(249,159,4)"
API AWS RoboMaker,"rgb(129,200,229)"
API AWS S3 Control,"rgb(169,232,232)"
API AWS Secrets Manager,"rgb(146,245,146)"
API AWS Security Token Service,"rgb(249,233,213)"
API AWS SecurityHub,"rgb(100,84,199)"
API AWS Server Migration,"rgb(116,97,232)"
API AWS Service Catalog,"rgb(125,133,133)"
API AWS Shield,"rgb(22,128,232)"
API AWS Signer,"rgb(4,249,249)"
API AWS Simple Systems Management Service,"rgb(199,173,133)"
API AWS Step Functions,"rgb(6,6,133)"
API AWS Storage Gateway Service,"rgb(232,217,198)"
API AWS Support,"rgb(199,186,170)"
API AWS Transfer for SFTP,"rgb(24,138,249)"
API AWS WAF,"rgb(133,133,125)"
API AWS X-Ray,"rgb(52,89,199)"
API AWSServerlessApplicationRepository,"rgb(148,199,44)"
API Act,"rgb(134,120,118)"
API ActFramework,"rgb(188,200,200)"
API Activiti,"rgb(126,134,134)"
API Adobe,"rgb(134,134,126)"
API Akka,"rgb(126,106,250)"
API Alexa For Business,"rgb(28,133,28)"
API Alibaba,"rgb(233,113,28)"
API Alibaba Android,"rgb(119,22,148)"
API Alibaba TMall,"rgb(233,113,28)"
API Alibaba Taobao,"rgb(189,12,47)"
API Amazon API Gateway,"rgb(125,133,125)"
API Amazon AppStream,"rgb(61,104,232)"
API Amazon Athena,"rgb(159,36,36)"
API Amazon AutoScaling,"rgb(142,6,205)"
API Amazon Chime,"rgb(58,218,202)"
API Amazon CloudDirectory,"rgb(180,79,205)"
API Amazon CloudFront,"rgb(212,106,208)"
API Amazon CloudSearch,"rgb(202,26,138)"
API Amazon CloudWatch,"rgb(249,6,249)"
API Amazon CloudWatch Events,"rgb(215,154,215)"
API Amazon CloudWatch Logs,"rgb(232,124,232)"
API Amazon Cognito,"rgb(147,44,198)"
API Amazon Cognito Identity Provider,"rgb(199,177,175)"
API Amazon Comprehend,"rgb(183,177,101)"
API Amazon Connect,"rgb(118,246,4)"
API Amazon Data Lifecycle Manager,"rgb(218,249,249)"
API Amazon DocumentDB with MongoDB compatibility,"rgb(184,184,184)"
API Amazon DynamoDB,"rgb(234,122,122)"
API Amazon DynamoDB Accelerator,"rgb(204,99,24)"
API Amazon EC2,"rgb(249,93,65)"
API Amazon EC2 Container Registry,"rgb(232,218,223)"
API Amazon EC2 Container Service,"rgb(133,113,95)"
API Amazon ElastiCache,"rgb(141,106,213)"
API Amazon Elastic Container Service for Kubernetes,"rgb(96,199,164)"
API Amazon Elastic File System,"rgb(133,131,106)"
API Amazon Elastic Load Balancing,"rgb(193,15,127)"
API Amazon Elastic MapReduce,"rgb(213,106,141)"
API Amazon Elastic Transcoder,"rgb(210,185,210)"
API Amazon Elasticsearch Service,"rgb(116,104,49)"
API Amazon FSx,"rgb(117,98,232)"
API Amazon GameLift,"rgb(199,187,191)"
API Amazon Glacier,"rgb(249,121,74)"
API Amazon GuardDuty,"rgb(232,215,124)"
API Amazon Inspector Service,"rgb(218,232,218)"
API Amazon Kinesis,"rgb(132,37,220)"
API Amazon Kinesis Analytics,"rgb(4,4,199)"
API Amazon Kinesis Video Streams,"rgb(249,249,6)"
API Amazon Lex Model Building,"rgb(249,154,116)"
API Amazon Lightsail,"rgb(66,112,249)"
API Amazon Machine Learning,"rgb(232,227,185)"
API Amazon Macie,"rgb(89,152,154)"
API Amazon Neptune,"rgb(4,94,4)"
API Amazon Pinpoint,"rgb(6,6,232)"
API Amazon Pinpoint Email,"rgb(66,203,198)"
API Amazon Pinpoint SMS and Voice,"rgb(4,200,203)"
API Amazon Polly,"rgb(65,54,133)"
API Amazon QuickSight,"rgb(64,124,174)"
API Amazon Redshift,"rgb(154,26,234)"
API Amazon Rekognition,"rgb(99,83,199)"
API Amazon Relational Database Service,"rgb(5,129,134)"
API Amazon Route 53,"rgb(249,186,197)"
API Amazon Route 53 Auto Naming,"rgb(167,249,41)"
API Amazon Route 53 Resolver,"rgb(167,210,224)"
API Amazon S3,"rgb(249,134,4)"
API Amazon SNS,"rgb(249,99,174)"
API Amazon SQS,"rgb(249,6,6)"
API Amazon SageMaker,"rgb(232,226,164)"
API Amazon SageMaker Runtime,"rgb(249,249,218)"
API Amazon Simple Email Service,"rgb(170,42,90)"
API Amazon Simple Workflow Service,"rgb(249,176,187)"
API Amazon SimpleDB,"rgb(249,63,6)"
API Amazon Snowball,"rgb(187,199,199)"
API Amazon Transcribe,"rgb(4,249,4)"
API Amazon Translate,"rgb(234,224,134)"
API Amazon WorkDocs,"rgb(6,172,232)"
API Amazon WorkLink,"rgb(106,122,138)"
API Amazon WorkMail,"rgb(4,244,148)"
API Amazon WorkSpaces,"rgb(133,115,88)"
API AmazonApiGatewayManagementApi,"rgb(19,19,106)"
API AmazonApiGatewayV2,"rgb(205,205,205)"
API AmazonMQ,"rgb(212,159,26)"
API Amdocs AFF,"rgb(241,236,221)"
API Amdocs AWSI,"rgb(29,246,210)"
API Amdocs Acmarch,"rgb(89,79,182)"
API Amdocs CSM3g,"rgb(129,195,160)"
API Amdocs Gen3g,"rgb(14,103,132)"
API Amdocs JF,"rgb(59,68,28)"
API Amdocs RPM,"rgb(223,16,247)"
API Amdocs RPR,"rgb(130,17,129)"
API Amdocs TLG Server,"rgb(164,134,34)"
API Amdocs UAMS,"rgb(39,157,72)"
API Amdocs Utils,"rgb(38,107,162)"
API Android Plot,"rgb(117,98,233)"
API Apache Accumulo,"rgb(100,84,200)"
API Apache ActiveMQ,"rgb(66,55,134)"
API Apache Airavata,"rgb(200,196,196)"
API Apache Avalon,"rgb(67,113,250)"
API Apache Avro,"rgb(62,105,233)"
API Apache Axis,"rgb(53,90,200)"
API Apache BookKeeper,"rgb(34,59,134)"
API Apache CXF,"rgb(5,173,233)"
API Apache Camel,"rgb(5,5,233)"
API Apache Cayenne,"rgb(5,5,134)"
