parent,level0,level1,level2,level3
Data Services,Data File Services,DataSet Storage,CICS DataSet Storage,CICS DataSet
Data Services,Data File Services,DataSet Storage,CICS DataSet Storage,CICS Transient Data
Data Services,Data File Services,DataSet Storage,CICS DataSet Storage,Cobol Transient Data
Data Services,Data File Services,DataSet Storage,CICS DataSet Storage,Unknown CICS Transient Data
Data Services,Data File Services,DataSet Storage,IMS DataSet Storage,A IMS source file
Data Services,Data File Services,DataSet Storage,IMS DataSet Storage,CAST_IMS_DatabaseReference
Data Services,Data File Services,DataSet Storage,IMS DataSet Storage,CAST_IMS_GSAMReference
Data Services,Data File Services,DataSet Storage,IMS DataSet Storage,CAST_IMS_IntegerLiteral
Data Services,Data File Services,DataSet Storage,IMS DataSet Storage,CAST_IMS_IntegerVariable
Data Services,Data File Services,DataSet Storage,IMS DataSet Storage,CAST_IMS_SegmentReference
Data Services,Data File Services,DataSet Storage,IMS DataSet Storage,CAST_IMS_StringLiteral
Data Services,Data File Services,DataSet Storage,IMS DataSet Storage,CAST_IMS_StringVariable
Data Services,Data File Services,DataSet Storage,IMS DataSet Storage,IMS
Data Services,Data File Services,DataSet Storage,IMS DataSet Storage,IMS Alternate PCB
Data Services,Data File Services,DataSet Storage,IMS DataSet Storage,IMS DB PCB
Data Services,Data File Services,DataSet Storage,IMS DataSet Storage,IMS DataSet
Data Services,Data File Services,DataSet Storage,IMS DataSet Storage,IMS Folder
Data Services,Data File Services,DataSet Storage,IMS DataSet Storage,IMS PCB
Data Services,Data File Services,DataSet Storage,JCL DataSet Storage,JCL Data Set
Data Services,Data File Services,File Storage,CICS File,VSAM
Data Services,Data File Services,File Storage,Cobol File,Cobol File Link
Data Services,Data File Services,File Storage,IMS File,IMS FILE
Data Services,Data File Services,File Storage,IMS File,IMS GSAM PCB
Data Services,Data File Services,File Storage,Input File,File Input Object
Data Services,Data File Services,File Storage,Output File,File Output Object
Data Services,Database Services,Hierarchical DB Services,Adabas Database,Adabas ConceptualFile
Data Services,Database Services,Hierarchical DB Services,Adabas Database,Adabas File
Data Services,Database Services,Hierarchical DB Services,Adabas Database,Adabas View
Data Services,Database Services,Hierarchical DB Services,IMS Database,Cobol DB Definition
Data Services,Database Services,Hierarchical DB Services,IMS Database,Cobol PSB
Data Services,Database Services,Hierarchical DB Services,IMS Database,IMS DB Definition
Data Services,Database Services,Hierarchical DB Services,IMS Database,IMS DB Segment
Data Services,Database Services,Hierarchical DB Services,IMS Database,IMS PSB
Data Services,Database Services,Hierarchical DB Services,IMS Database,IMS Segment
Data Services,Database Services,Hierarchical DB Services,IMS Database,JCL External PSB
Data Services,Database Services,In Memory Services,Bitsy Database,API Bitsy
Data Services,Database Services,In Memory Services,Graph Traversal Machine,API Gremlin
Data Services,Database Services,In Memory Services,H2 Database,API H2
Data Services,Database Services,In Memory Services,Netflix Dynomite,API Netflix Dynomite
Data Services,Database Services,In Memory Services,Netflix Dynomite,API Netflix Dynomite cluster
Data Services,Database Services,In Memory Services,Netflix Hollow,API Netflix Hollow
Data Services,Database Services,In Memory Services,Netflix Zeno,API Netflix Zeno
Data Services,Database Services,Network Model DB Services,CA IDMS,IDMS Object
Data Services,Database Services,NoSQL Services,AWS DynamoDB Database,AWS DynamoDB
Data Services,Database Services,NoSQL Services,AWS DynamoDB Database,AWS DynamoDB Function
Data Services,Database Services,NoSQL Services,AWS DynamoDB Database,AWS DynamoDB Procedure
Data Services,Database Services,NoSQL Services,AWS DynamoDB Database,AWS DynamoDB Synonym
Data Services,Database Services,NoSQL Services,AWS DynamoDB Database,AWS DynamoDB Table
Data Services,Database Services,NoSQL Services,AWS DynamoDB Database,AWS DynamoDB Trigger
Data Services,Database Services,NoSQL Services,AWS DynamoDB Database,AWS DynamoDB View
Data Services,Database Services,NoSQL Services,Couchbase Database,Couchbase
Data Services,Database Services,NoSQL Services,Couchbase Database,Java Couchbase collection
Data Services,Database Services,NoSQL Services,Couchbase Database,Java Couchbase connection
Data Services,Database Services,NoSQL Services,Couchbase Database,Java Couchbase database
Data Services,Database Services,NoSQL Services,Couchbase Database,Java Unknown Couchbase collection
